char,height,origin_path,path,width,x,y,isTrain,label
t,85,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/t/DSC02491_3.jpg,36,310,125,True,71
a,73,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/a/DSC02491_2.jpg,57,348,139,True,51
l,90,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/l/DSC02491_5.jpg,23,406,120,True,63
S,83,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/S/DSC02491_1.jpg,53,80,44,True,41
u,76,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/u/DSC02491_1.jpg,54,135,58,True,72
k,97,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/k/DSC02491_1.jpg,63,193,39,True,62
w,72,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/w/DSC02491_1.jpg,73,256,56,True,74
a,67,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/a/DSC02491_3.jpg,56,328,59,True,51
n,64,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/n/DSC02491_5.jpg,52,383,62,True,65
g,86,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02491.jpg,char_data/g/DSC02491_1.jpg,68,433,61,True,58
N,24,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/N/DSC02500_6.jpg,20,0,82,True,36
I,18,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/I/DSC02500_4.jpg,6,1,105,True,31
S,22,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/S/DSC02500_3.jpg,15,7,105,True,41
T,29,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/T/DSC02500_3.jpg,15,22,103,True,42
E,18,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/E/DSC02500_4.jpg,16,36,106,True,27
N,19,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/N/DSC02500_7.jpg,17,53,106,True,36
I,23,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/I/DSC02500_5.jpg,9,68,104,True,31
N,25,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/N/DSC02500_8.jpg,19,78,103,True,36
G,20,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/G/DSC02500_2.jpg,23,99,103,True,29
T,24,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/T/DSC02500_4.jpg,10,21,81,True,42
E,24,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/E/DSC02500_5.jpg,18,30,82,True,27
N,21,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/N/DSC02500_9.jpg,20,48,85,True,36
S,25,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/S/DSC02500_4.jpg,13,68,83,True,41
I,24,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/I/DSC02500_6.jpg,8,81,84,True,31
V,23,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/V/DSC02500_1.jpg,17,89,82,True,44
E,24,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/E/DSC02500_6.jpg,17,106,83,True,27
E,54,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/E/DSC02500_7.jpg,36,391,286,True,27
n,35,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/n/DSC02500_10.jpg,33,428,303,True,65
g,46,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/g/DSC02500_3.jpg,39,460,304,True,58
l,56,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/l/DSC02500_2.jpg,15,499,286,True,63
i,57,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/i/DSC02500_7.jpg,18,515,286,True,60
s,51,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/s/DSC02500_5.jpg,23,533,292,True,70
h,55,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/h/DSC02500_1.jpg,34,557,285,True,59
L,118,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/L/DSC02500_3.jpg,48,57,175,True,34
A,118,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/A/DSC02500_2.jpg,68,106,169,True,23
N,124,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/N/DSC02500_11.jpg,72,178,166,True,36
D,116,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/D/DSC02500_1.jpg,61,251,173,True,26
M,112,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/M/DSC02500_1.jpg,87,312,173,True,35
A,110,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/A/DSC02500_3.jpg,73,399,169,True,23
R,114,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/R/DSC02500_1.jpg,45,477,169,True,40
T,99,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02500.jpg,char_data/T/DSC02500_5.jpg,79,523,173,True,42
J,160,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/J/DSC02501_1.jpg,136,50,73,True,32
E,141,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/E/DSC02501_3.jpg,124,192,88,True,27
E,140,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/E/DSC02501_4.jpg,120,321,91,True,27
T,134,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/T/DSC02501_2.jpg,135,443,92,True,42
E,61,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/E/DSC02501_5.jpg,56,18,293,True,27
D,67,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/D/DSC02501_1.jpg,55,93,292,True,26
U,58,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/U/DSC02501_1.jpg,50,161,298,True,43
C,56,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/C/DSC02501_1.jpg,54,222,298,True,25
A,60,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/A/DSC02501_1.jpg,54,289,299,True,23
T,59,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/T/DSC02501_3.jpg,53,349,297,True,42
I,48,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/I/DSC02501_1.jpg,34,410,299,True,31
O,59,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/O/DSC02501_1.jpg,60,455,294,True,37
N,53,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02501.jpg,char_data/N/DSC02501_1.jpg,61,528,300,True,36
O,94,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/O/DSC02514_1.jpg,57,11,146,True,37
S,93,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/S/DSC02514_1.jpg,50,63,146,True,41
C,94,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/C/DSC02514_2.jpg,45,112,149,True,25
A,83,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/A/DSC02514_2.jpg,44,157,155,True,23
R,72,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/R/DSC02514_2.jpg,43,200,169,True,40
B,78,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/B/DSC02514_2.jpg,37,265,169,True,24
i,77,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/i/DSC02514_2.jpg,22,299,172,True,60
l,72,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/l/DSC02514_3.jpg,11,321,174,True,63
l,76,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/l/DSC02514_4.jpg,7,335,176,True,63
i,68,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/i/DSC02514_3.jpg,12,344,179,True,60
a,56,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/a/DSC02514_3.jpg,35,353,188,True,51
r,64,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/r/DSC02514_3.jpg,23,388,185,True,69
d,64,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/d/DSC02514_1.jpg,38,412,182,True,54
c,55,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/c/DSC02514_3.jpg,35,461,199,True,53
l,74,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/l/DSC02514_5.jpg,17,494,187,True,63
u,59,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/u/DSC02514_1.jpg,27,513,200,True,72
b,78,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02514.jpg,char_data/b/DSC02514_3.jpg,41,538,182,True,52
S,94,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/S/DSC02524_1.jpg,72,31,306,True,41
a,73,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/a/DSC02524_1.jpg,52,103,327,True,51
n,69,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/n/DSC02524_1.jpg,54,160,330,True,65
d,98,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/d/DSC02524_1.jpg,55,217,307,True,54
C,97,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/C/DSC02524_1.jpg,69,337,303,True,25
o,69,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/o/DSC02524_1.jpg,51,407,326,True,66
f,109,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/f/DSC02524_2.jpg,45,453,299,True,57
f,112,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/f/DSC02524_3.jpg,34,495,296,True,57
e,66,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/e/DSC02524_2.jpg,52,530,335,True,56
e,76,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02524.jpg,char_data/e/DSC02524_3.jpg,54,579,330,True,56
L,44,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/L/DSC02559_2.jpg,27,143,122,True,34
o,30,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/o/DSC02559_2.jpg,26,169,129,True,66
v,35,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/v/DSC02559_1.jpg,25,192,127,True,73
e,38,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/e/DSC02559_2.jpg,22,217,127,True,56
l,44,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/l/DSC02559_3.jpg,12,239,124,True,63
y,34,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/y/DSC02559_1.jpg,26,252,131,True,76
H,100,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/H/DSC02559_1.jpg,89,288,75,True,30
O,48,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/O/DSC02559_3.jpg,54,372,113,True,37
M,60,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/M/DSC02559_1.jpg,55,424,104,True,35
E,53,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02559.jpg,char_data/E/DSC02559_3.jpg,58,480,104,True,27
I,110,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02590.jpg,char_data/I/DSC02590_2.jpg,63,32,122,True,31
N,107,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02590.jpg,char_data/N/DSC02590_1.jpg,89,94,125,True,36
T,103,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02590.jpg,char_data/T/DSC02590_1.jpg,78,177,126,True,42
E,89,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02590.jpg,char_data/E/DSC02590_1.jpg,82,231,139,True,27
R,114,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02590.jpg,char_data/R/DSC02590_2.jpg,82,303,131,True,40
I,105,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02590.jpg,char_data/I/DSC02590_3.jpg,37,387,128,True,31
O,103,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02590.jpg,char_data/O/DSC02590_1.jpg,70,424,126,True,37
R,124,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02590.jpg,char_data/R/DSC02590_3.jpg,98,494,124,True,40
B,130,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/B/DSC02618_2.jpg,94,166,213,True,24
A,137,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/A/DSC02618_1.jpg,121,261,212,True,23
R,139,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/R/DSC02618_1.jpg,120,377,212,True,40
N,35,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/N/DSC02618_1.jpg,33,232,173,True,36
O,35,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/O/DSC02618_1.jpg,18,266,173,True,37
B,34,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/B/DSC02618_3.jpg,19,282,173,True,24
L,43,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/L/DSC02618_1.jpg,13,301,170,True,34
E,38,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/E/DSC02618_2.jpg,18,313,175,True,27
S,37,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/S/DSC02618_2.jpg,13,330,174,True,41
S,37,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/S/DSC02618_3.jpg,17,340,175,True,41
E,36,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02618.jpg,char_data/E/DSC02618_3.jpg,21,355,176,True,27
B,68,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/B/DSC02619_2.jpg,41,37,223,True,24
U,65,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/U/DSC02619_2.jpg,43,78,220,True,43
S,67,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/S/DSC02619_3.jpg,36,120,219,True,41
I,67,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/I/DSC02619_1.jpg,24,157,219,True,31
N,61,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/N/DSC02619_1.jpg,50,182,219,True,36
E,61,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/E/DSC02619_1.jpg,37,233,219,True,27
S,68,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/S/DSC02619_4.jpg,42,271,215,True,41
S,69,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/S/DSC02619_5.jpg,51,310,213,True,41
C,66,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/C/DSC02619_1.jpg,63,385,211,True,25
L,59,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/L/DSC02619_1.jpg,47,446,212,True,34
U,65,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/U/DSC02619_3.jpg,45,493,210,True,43
B,67,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02619.jpg,char_data/B/DSC02619_3.jpg,49,538,208,True,24
P,233,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02868.jpg,char_data/P/DSC02868_1.jpg,149,231,220,True,38
a,41,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02868.jpg,char_data/a/DSC02868_1.jpg,19,271,402,True,51
r,41,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02868.jpg,char_data/r/DSC02868_1.jpg,10,290,400,True,69
k,49,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02868.jpg,char_data/k/DSC02868_1.jpg,13,300,393,True,62
i,51,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02868.jpg,char_data/i/DSC02868_1.jpg,8,314,391,True,60
n,38,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02868.jpg,char_data/n/DSC02868_1.jpg,13,323,403,True,65
g,52,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02868.jpg,char_data/g/DSC02868_1.jpg,22,339,399,True,58
C,84,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/C/DSC02897_2.jpg,58,86,296,True,25
H,79,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/H/DSC02897_1.jpg,65,140,294,True,30
A,74,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/A/DSC02897_1.jpg,57,203,293,True,23
S,87,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/S/DSC02897_1.jpg,49,260,285,True,41
E,85,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/E/DSC02897_1.jpg,49,309,281,True,27
C,84,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/C/DSC02897_3.jpg,76,354,277,True,25
U,87,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/U/DSC02897_1.jpg,70,429,269,True,43
L,94,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/L/DSC02897_1.jpg,64,499,269,True,34
T,86,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02897.jpg,char_data/T/DSC02897_1.jpg,77,547,265,True,42
c,116,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02914.jpg,char_data/c/DSC02914_1.jpg,74,61,185,True,53
a,107,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02914.jpg,char_data/a/DSC02914_1.jpg,53,127,183,True,51
s,100,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02914.jpg,char_data/s/DSC02914_2.jpg,50,179,178,True,70
s,99,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02914.jpg,char_data/s/DSC02914_3.jpg,60,229,174,True,70
h,132,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02914.jpg,char_data/h/DSC02914_1.jpg,105,354,183,True,59
i,116,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02914.jpg,char_data/i/DSC02914_1.jpg,42,458,186,True,60
t,96,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02914.jpg,char_data/t/DSC02914_1.jpg,42,491,192,True,71
e,84,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02914.jpg,char_data/e/DSC02914_1.jpg,95,521,196,True,56
T,49,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/T/DSC02918_3.jpg,44,55,227,True,42
w,37,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/w/DSC02918_1.jpg,33,99,238,True,74
e,36,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/e/DSC02918_2.jpg,27,130,236,True,56
n,38,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/n/DSC02918_3.jpg,31,157,233,True,65
t,36,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/t/DSC02918_4.jpg,20,188,232,True,71
y,48,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/y/DSC02918_1.jpg,24,208,231,True,76
C,35,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/C/DSC02918_1.jpg,39,246,233,True,25
o,29,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/o/DSC02918_2.jpg,27,284,238,True,66
i,35,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/i/DSC02918_3.jpg,10,312,232,True,60
o,31,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/o/DSC02918_3.jpg,25,324,236,True,66
r,33,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/r/DSC02918_2.jpg,20,352,235,True,69
D,42,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/D/DSC02918_1.jpg,47,384,228,True,26
e,32,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/e/DSC02918_3.jpg,26,430,231,True,56
s,34,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/s/DSC02918_1.jpg,19,456,229,True,70
i,37,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/i/DSC02918_4.jpg,14,475,225,True,60
g,48,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/g/DSC02918_1.jpg,28,489,230,True,58
n,31,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/n/DSC02918_4.jpg,38,519,229,True,65
A,50,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/A/DSC02918_2.jpg,59,167,174,True,23
r,35,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/r/DSC02918_3.jpg,25,226,188,True,69
t,36,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/t/DSC02918_5.jpg,20,251,187,True,71
N,49,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/N/DSC02918_5.jpg,57,299,178,True,36
a,37,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/a/DSC02918_3.jpg,29,357,185,True,51
i,46,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/i/DSC02918_5.jpg,23,385,176,True,60
l,44,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor1/DSC02918.jpg,char_data/l/DSC02918_1.jpg,24,407,175,True,63
S,184,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02949.jpg,char_data/S/DSC02949_1.jpg,64,188,63,True,41
A,180,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02949.jpg,char_data/A/DSC02949_1.jpg,37,250,63,True,23
L,184,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02949.jpg,char_data/L/DSC02949_1.jpg,30,285,62,True,34
E,190,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02949.jpg,char_data/E/DSC02949_1.jpg,38,315,61,True,27
3,184,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02949.jpg,char_data/3/DSC02949_1.jpg,39,352,59,True,14
0,194,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02949.jpg,char_data/0/DSC02949_1.jpg,29,390,58,True,11
B,103,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/B/DSC02984_1.jpg,71,21,103,True,24
E,90,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/E/DSC02984_2.jpg,57,91,104,True,27
A,98,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/A/DSC02984_1.jpg,70,148,101,True,23
U,105,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/U/DSC02984_1.jpg,69,216,100,True,43
T,97,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/T/DSC02984_1.jpg,61,286,98,True,42
I,88,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/I/DSC02984_1.jpg,41,347,100,True,31
P,106,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/P/DSC02984_1.jpg,70,381,96,True,38
L,79,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/L/DSC02984_1.jpg,50,455,107,True,34
E,88,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/E/DSC02984_3.jpg,61,503,106,True,27
X,90,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02984.jpg,char_data/X/DSC02984_1.jpg,68,563,106,True,46
s,99,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02990.jpg,char_data/s/DSC02990_2.jpg,72,53,136,True,70
h,91,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02990.jpg,char_data/h/DSC02990_1.jpg,69,125,148,True,59
o,74,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02990.jpg,char_data/o/DSC02990_1.jpg,71,194,169,True,66
e,78,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02990.jpg,char_data/e/DSC02990_2.jpg,61,266,170,True,56
s,73,kaist_dataset/English/Digital_Camera/(E.S)C-outdoor2/DSC02990.jpg,char_data/s/DSC02990_3.jpg,48,327,179,True,70
